Organisme,Phylym,Genre,Espèce,Collection,Couleur du mycélium,Pigmentation du milieu,Contour de la colonie,Densité du mycélium,Mycélium aérien,Structures particulières,Exudats,Méiospores,Septa,Mitospores,Sporogénèse,Couleur des mitospores,Forme des mitospores,Nombre de cellules,Disposition des mitospores,Regroupement des mitospores,Couleur de la colonie,Forme des blastospores,Photo genre,Photo micro genre,Dessus,Dessous,Photo micro
,,Phoma,,,,,,,,,,,,,,,,,,,,,,,,,
,,Epicoccum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Phoma,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria,,,,,,,,,,,,,,,,,,,,,,,,,
,,en cours,,,,,,,,,,,,,,,,,,,,,,,,,
,,en cours,,,,,,,,,,,,,,,,,,,,,,,,,
,,en cours,,,,,,,,,,,,,,,,,,,,,,,,,
,,Epicoccum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Phoma,,,,,,,,,,,,,,,,,,,,,,,,,
,,Botrytis,,,,,,,,,,,,,,,,,,,,,,,,,
,,Paraphoma,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Phoma,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria,,,,,,,,,,,,,,,,,,,,,,,,,
,,non exploitables,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cladosporium,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cladosporium,,,,,,,,,,,,,,,,,,,,,,,,,
,,en cours,,,,,,,,,,,,,,,,,,,,,,,,,
,,en cours,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Phoma,,,,,,,,,,,,,,,,,,,,,,,,,
,,en cours,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cladosporium,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria,,,,,,,,,,,,,,,,,,,,,,,,,
,,en cours,,,,,,,,,,,,,,,,,,,,,,,,,
,,en cours,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,en cours,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,en cours,,,,,,,,,,,,,,,,,,,,,,,,,
,,en cours,,,,,,,,,,,,,,,,,,,,,,,,,
,,en cours,,,,,,,,,,,,,,,,,,,,,,,,,
,,en cours,,,,,,,,,,,,,,,,,,,,,,,,,
,,Claviceps,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cladosporium OU uncultured Davidiella,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cladosporium,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cladosporium OU uncultured Davidiella,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pas de Produit,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cladosporium,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,en cours,,,,,,,,,,,,,,,,,,,,,,,,,
,,en cours,,,,,,,,,,,,,,,,,,,,,,,,,
,,en cours,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cladosporium,,,,,,,,,,,,,,,,,,,,,,,,,
,,en cours,,,,,,,,,,,,,,,,,,,,,,,,,
,,Phoma,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,en cours,,,,,,,,,,,,,,,,,,,,,,,,,
,,en cours,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria,,,,,,,,,,,,,,,,,,,,,,,,,
,,en cours,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cladosporium,,,,,,,,,,,,,,,,,,,,,,,,,
,,Leptosphaeria,,,,,,,,,,,,,,,,,,,,,,,,,
,,Leptosphaeria,,,,,,,,,,,,,,,,,,,,,,,,,
,,Talaromyces ou Penicillium,,,,,,,,,,,,,,,,,,,,,,,,,
,,Leptosphaeria,,,,,,,,,,,,,,,,,,,,,,,,,
,,Leptosphaeria,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium oxysporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria infectoria,,,,,,,,,,,,,,,,,,,,,,,,,
,,Séquencé mais mauvaise qualité,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Epicoccum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,séquençage pas marché,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria infectoria,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium chlamydosporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cladosporium,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium oxysporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium chlamydosporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,mauvaise qualité mais Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium oxysporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium oxysporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium chlamydosporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium oxysporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium oxysporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria infectoria,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium,,,,,,,,,,,,,,,,,,,,,,,,,
,,mauvaise qualité mais Penicillium,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,séquençage puis PCR pas marché,,,,,,,,,,,,,,,,,,,,,,,,,
,,séquençage puis PCR pas marché,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium oxysporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium chlamydosporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium oxysporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium graminearum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium graminearum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,séquençage pas marché,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium oxysporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium oxysporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium chlamydosporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Epicoccum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium oxysporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium graminearum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium graminearum,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium solani,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium solani,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium solani,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fusarium chlamydosporum,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
,,Alternaria alternata,,,,,,,,,,,,,,,,,,,,,,,,,
Filamenteux,Ascomycète,Acremonium,breve ,FungiSem,,,,,,,,,,,,,,,,,,,dessus_Acremonium_breve,micro_Acremonium_breve,dessus_Acremonium_breve,dessous_Acremonium_breve,micro_Acremonium_breve
Filamenteux,Ascomycète,Alternaria,alternata,FungiSem,Brun/noir,Non,régulier,dense,Non,Non,Non,Non,Oui,Oui,Libre,Foncée,Dictyospore,3-7,Terminale,Groupée en chainette,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_alternata,dessous_Alternaria_alternata,conidies_Alternaria_alternata
Filamenteux,Ascomycète,Alternaria,brassicae,FungiSem,Brun/noir,Non,régulier,dense,Non,Non,Non,Non,Oui,Oui,Libre,Foncée,Dictyospore,3-7,Terminale,Groupée en chainette,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,,,micro_Alternaria_brassicae
Filamenteux,Ascomycète,Alternaria,brassicicola,FungiSem,Brun/noir,Non,régulier,dense,Non,Non,Non,Non,Oui,Oui,Libre,Foncée,Dictyospore,3-7,Terminale,Groupée en chainette,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_brassicicola,,conidies_Alternaria_brassicicola
Filamenteux,Ascomycète,Alternaria,chico,FungiSem,Brun/noir,Non,régulier,dense,Non,Non,Non,Non,Oui,Oui,Libre,Foncée,Dictyospore,3-7,Terminale,Groupée en chainette,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_chico,dessous_Alternaria_chico,
Filamenteux,Ascomycète,Alternaria,citri,FungiSem,Brun/noir,Non,régulier,dense,Non,Non,Non,Non,Oui,Oui,Libre,Foncée,Dictyospore,3-7,Terminale,Groupée en chainette,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_citri,,micro_Alternaria_citri
Filamenteux,Ascomycète,Alternaria,consortialis,GEVES,Brun/noir,Non,régulier,dense,Non,Non,Non,Non,Oui,Oui,Libre,Foncée,Dictyospore,3-7,Terminale,Groupée en chainette,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,,,micro_Alternaria_consortialis
Filamenteux,Ascomycète,Alternaria,crassa,FungiSem,Blanc/gris,Non,régulier,dense,Non,Non,Non,Non,Oui,Oui,Libre,Foncée,Dictyospore,3-7,Terminale,Groupée en chainette,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_crassa,dessous_Alternaria_crassa,micro_Alternaria_crassa
Filamenteux,Ascomycète,Alternaria,cucumerina,GEVES,Brun/noir,Non,régulier,dense,Non,Non,Non,Non,Oui,Oui,Libre,Foncée,Dictyospore,3-7,Terminale,Groupée en chainette,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_cucumerina,,
Filamenteux,Ascomycète,Alternaria,dauci,FungiSem,Brun/noir,Non,irrégulier,dense,Non,Non,Non,Non,Oui,Oui,Libre,Foncée,Dictyospore,3-7,Terminale,Groupée en chainette,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_dauci,,micro_Alternaria_dauci
Filamenteux,Ascomycète,Alternaria,ethzedia,FungiSem,Blanc/gris,Oui,régulier,dense,Non,Non,Non,Non,Oui,Oui,Libre,Foncée,Dictyospore,3-7,Terminale,Groupée en chainette,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_ethzedia,dessous_Alternaria_ethzedia,micro_Alternaria_ethzedia
Filamenteux,Ascomycète,Alternaria,grandis,FungiSem,Brun/noir,Non,régulier,dense,Non,Non,Non,Non,Oui,Oui,Libre,Foncée,Dictyospore,3-7,Terminale,Groupée en chainette,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_grandis,dessous_Alternaria_grandis,micro_Alternaria_grandis
Filamenteux,Ascomycète,Alternaria,helianthi,GEVES,Brun/noir,Non,régulier,dense,Non,Non,Non,Non,Oui,Oui,Libre,Foncée,Dictyospore,3-7,Terminale,Groupée en chainette,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_helianthi,,micro_Alternaria_helianthi
Filamenteux,Ascomycète,Alternaria,infectoria,FungiSem,Blanc/gris,Non,régulier,dense,Non,Non,Non,Non,Oui,Oui,Libre,Foncée,Dictyospore,3-7,Terminale,Groupée en chainette,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_infectoria,dessous_Alternaria_infectoria,
Filamenteux,Ascomycète,Alternaria,japonica,FungiSem,Brun/noir,Non,régulier,dense,Non,Non,Non,Non,Oui,Oui,Libre,Foncée,Dictyospore,3-7,Terminale,Groupée en chainette,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_japonica,,micro_Alternaria_japonia
Filamenteux,Ascomycète,Alternaria,linicola,FungiSem,Brun/noir,Non,régulier,dense,Non,Non,Non,Non,Oui,Oui,Libre,Foncée,Dictyospore,3-7,Terminale,Groupée en chainette,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_linicola,,micro_Alternaria_linicola
Filamenteux,Ascomycète,Alternaria,longipes,FungiSem,Brun/noir,Non,régulier,dense,Non,Non,Non,Non,Oui,Oui,Libre,Foncée,Dictyospore,3-7,Terminale,Groupée en chainette,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,,,
Filamenteux,Ascomycète,Alternaria,padwickii,FungiSem,Brun/noir,Non,régulier,dense,Non,Non,Non,Non,Oui,Oui,Libre,Foncée,Dictyospore,3-7,Terminale,Groupée en chainette,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_padwickii,,bino_Alternaria_padwickii
Filamenteux,Ascomycète,Alternaria,petroselini,FungiSem,Brun/noir,Non,régulier,dense,Non,Non,Non,Non,Oui,Oui,Libre,Foncée,Dictyospore,3-7,Terminale,Groupée en chainette,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_petroselini,dessous_Alternaria_petroselini,micro_Alternaria_petroselini
Filamenteux,Ascomycète,Alternaria,porri,FungiSem,Blanc/gris,Oui,régulier,dense,Non,Non,Non,Non,Oui,Oui,Libre,Foncée,Dictyospore,3-7,Terminale,Groupée en chainette,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_porri,dessous_Alternaria_porri,
Filamenteux,Ascomycète,Alternaria,radicina,FungiSem,Brun/noir,Non,régulier,dense,Non,Non,Non,Non,Oui,Oui,Libre,Foncée,Dictyospore,3-7,Terminale,Groupée en chainette,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_radicina,,micro_Alternaria_radicina
Filamenteux,Ascomycète,Alternaria,rosae,FungiSem,Brun/noir,Non,régulier,dense,Non,Non,Non,Non,Oui,Oui,Libre,Foncée,Dictyospore,3-7,Terminale,Groupée en chainette,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_rosae,dessous_Alternaria_rosae,
Filamenteux,Ascomycète,Alternaria,solani,FungiSem,Blanc/gris,Non,régulier,dense,Non,Non,Non,Non,Oui,Oui,Libre,Foncée,Dictyospore,3-7,Terminale,Groupée en chainette,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_solani,dessous_Alternaria_solani,
Filamenteux,Ascomycète,Alternaria,tenuis,GEVES,Brun/noir,Non,régulier,dense,Non,Non,Non,Non,Oui,Oui,Libre,Foncée,Dictyospore,3-7,Terminale,Groupée en chainette,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_tenuis,dessous_Alternaria_tenuis,
Filamenteux,Ascomycète,Alternaria,tenuissima,FungiSem,Brun/noir,Non,régulier,dense,Non,Non,Non,Non,Oui,Oui,Libre,Foncée,Dictyospore,3-7,Terminale,Groupée en chainette,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_tenuissima,dessous_Alternaria_tenuissima,micro_Alternaria_tenuissima
Filamenteux,Ascomycète,Alternaria,tomatophilae,FungiSem,Blanc/gris,Non,régulier,dense,Non,Non,Non,Non,Oui,Oui,Libre,Foncée,Dictyospore,3-7,Terminale,Groupée en chainette,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_tomatophilae,dessous_Alternaria_tomatophilae,micro_Alternaria_tomatophilae
Filamenteux,Ascomycète,Alternaria,triticina,GEVES,Brun/noir,Non,régulier,dense,Non,Non,Non,Non,Oui,Oui,Libre,Foncée,Dictyospore,3-7,Terminale,Groupée en chainette,,,dessus_Alternaria_alternata,conidies_Alternaria_alternata,dessus_Alternaria_triticina,,micro_Alternaria_triticina
Filamenteux,Ascomycète,Aphanomyces , cochiades,GEVES,Brun/noir,Non,régulier,,,,,,,,,,,,,,,,dessus_Aphanomyces_cochiades,,dessus_Aphanomyces_cochiades,,
Filamenteux,Ascomycète,Ascochyta,pisi,FungiSem,Brun/noir,Non,,,,,,,régulier,,,,,,,,,,dessus_Ascochyta_pisi,,dessus_Ascochyta_pisi,,
Filamenteux,Ascomycète,Aspergillus,niger,FungiSem,Blanc/jaune,Non,régulier,,,,,,,,,,,,,,,,dessus_Aspergillus_niger,micro_Aspergillus_terreus,dessus_Aspergillus_niger,,bino_Aspergillus_niger
Filamenteux,Ascomycète,Aspergillus,terreus,FungiSem,Blanc/gris,Oui,régulier,,,,,,,,,,,,,,,,dessus_Aspergillus_niger,micro_Aspergillus_terreus,dessus_Aspergillus_terreus,,micro_Aspergillus_terreus
Filamenteux,Ascomycète,Beauveria ,bassiana,FungiSem,Brun/noir,Non,,,,,,,,,,,,,,,,,dessus_Beauvaria_bassiana,micro_Beauvaria_bassiana,dessus_Beauvaria_bassiana,dessous_Beauvaria_bassiana,micro_Beauvaria_bassiana
Filamenteux,Ascomycète,Boeremia,strasseri,FungiSem,Blanc/gris,Non,,,,,,,,,,,,,,,,,dessus_Boeremia_strasseri,,dessus_Boeremia_strasseri,dessous_Boeremia_strasseri,
